group,metric,metric_label,comparison,n,mean_normal,mean_missing,mean_diff,std_diff,t_stat,t_pvalue,cohens_dz,wilcoxon_stat,wilcoxon_pvalue,rank_biserial_r,mean_wrong,t_pvalue_holm,wilcoxon_pvalue_holm
Single-Answer,nuggets-vital-recall,Vital Recall,missing vs wrong,3000,,0.2745242251136307,-0.0925114035924205,0.3253588469743769,-15.573752810238982,1.198887313572323e-52,-0.28433652397257875,156668.5,3.360983525021938e-52,-0.5182173224472223,0.3670356287060512,5.9944365678616155e-52,1.6804917625109687e-51
Single-Answer,linear-decay-recall,Linear-Decay Recall,normal vs missing,3000,0.625635052186747,0.5387973422853655,0.08683770990138154,0.2239980456383857,21.233655150661587,2.4871848320161587e-93,0.3876717301434369,180136.0,1.0769523525346073e-116,0.6829367461131871,,1.989747865612927e-92,9.692571172811465e-116
Single-Answer,linear-decay-recall,Linear-Decay Recall,normal vs wrong,3000,0.625635052186747,,0.09428967410937403,0.2207939267295931,23.39039946183132,2.7612235392477954e-111,0.4270483138100571,121482.0,7.300862345629032e-114,0.7209042663174581,0.531345378077373,2.485101185323016e-110,5.840689876503226e-113
Single-Answer,linear-decay-recall,Linear-Decay Recall,missing vs wrong,3000,,0.5387973422853655,0.007451964207992481,0.2573497990050627,1.5860159635711648,0.11284111455225526,0.028956557327040625,656064.0,0.9470619704546601,0.001903956319301766,0.531345378077373,0.3385233436567658,1.0
All,factscore,Factscore (precision),normal vs missing,6378,0.8323538437348702,0.8323557316851542,0.000972848201660094,0.08143136981337737,0.9541037382698496,0.3400672979364483,0.011946848049954781,4837805.5,0.3066402265266054,0.01771852809010551,,0.6801345958728966,0.8876784055644651
All,factscore,Factscore (precision),normal vs wrong,6378,0.8323538437348702,,0.04970427689760422,0.06683380187784399,59.39362745837082,0.0,0.7436996774244805,2010894.0,0.0,0.7826587563685908,0.7808464846845815,0.0,0.0
All,factscore,Factscore (precision),missing vs wrong,6378,,0.8323557316851542,0.04873142869594412,0.08911851692501196,43.670026053985865,0.0,0.5468159746974781,3282211.0,0.0,0.6604879339510463,0.7808464846845815,0.0,0.0
All,vital-precision,Vital Precision,normal vs missing,6726,0.7957285858673103,0.7951757050889029,0.0021396652817688377,0.2220915175755021,0.7901186256895174,0.4294863523829906,0.00963416030079329,2057161.5,0.564222332027928,-0.012390477925635529,,0.6801345958728966,0.8876784055644651
All,vital-precision,Vital Precision,normal vs wrong,6726,0.7957285858673103,,0.1368240775329849,0.2474823107927574,45.34159546196571,0.0,0.5528640697377434,1401097.5,0.0,0.7410859662282065,0.6697645222718753,0.0,0.0
All,vital-precision,Vital Precision,missing vs wrong,6726,,0.7951757050889029,0.13468441225121608,0.27089056204346956,40.77574387232111,0.0,0.4971912318953489,1831887.0,0.0,0.6729652412195257,0.6697645222718753,0.0,0.0
All,linear-decay-precision,Linear-Decay Precision,normal vs missing,6726,0.8024376153320845,0.8075541637680961,-0.004906534910260384,0.16506604996819374,-2.4377859290975894,0.014803249366279766,-0.029724676341414936,4853372.0,0.2958928018548217,-0.018100624529559472,,0.0444097480988393,0.8876784055644651
All,linear-decay-precision,Linear-Decay Precision,normal vs wrong,6726,0.8024376153320845,,0.14039139134890324,0.21170925153833225,54.38499248281939,0.0,0.6631330011739419,2322062.5,0.0,0.7572360045279181,0.6645550732087626,0.0,0.0
All,linear-decay-precision,Linear-Decay Precision,missing vs wrong,6726,,0.8075541637680961,0.14529792625916366,0.22329530677435575,53.36521362484909,0.0,0.6506985227682821,2501756.5,0.0,0.7387875356533075,0.6645550732087626,0.0,0.0
All,nuggets-strict-all,Nuggets Recall (strict-all),normal vs missing,6726,0.254122606238319,0.18776940904938638,0.06800881253985776,0.11901180571699449,46.865534967435046,0.0,0.5714459345451838,501932.5,0.0,0.8976254476174625,,0.0,0.0
All,nuggets-strict-all,Nuggets Recall (strict-all),normal vs wrong,6726,0.254122606238319,,0.02573226179068863,0.0864179213501256,24.420388949479904,2.8729930542776617e-126,0.297765340668556,951725.0,1.3735494011176955e-184,0.6009050164632316,0.23316385782826432,1.4364965271388308e-125,6.867747005588477e-184
All,nuggets-strict-all,Nuggets Recall (strict-all),missing vs wrong,6726,,0.18776940904938638,-0.042276550749169126,0.10913405840857353,-31.770033492306922,1.6706725033169515e-206,-0.38738182530420673,1269313.0,2.8307368872498217e-300,-0.6782630692724734,0.23316385782826432,1.169470752321866e-205,2.54766319852484e-299
All,nuggets-vital-recall,Vital Recall,normal vs missing,6726,0.44542530199315683,0.29134737613050765,0.17624096202934428,0.26318249416731193,54.91971664895189,0.0,0.6696530579929201,277182.5,0.0,0.9329852067350735,,0.0,0.0
All,nuggets-vital-recall,Vital Recall,normal vs wrong,6726,0.44542530199315683,,0.08956787360489865,0.22635726689133104,32.451610440492104,9.411324564438531e-215,0.3956925034260029,397956.0,9.447084973788423e-264,0.7757855416392002,0.37516900629919425,7.529059651550825e-214,7.557667979030738e-263
All,nuggets-vital-recall,Vital Recall,missing vs wrong,6726,,0.29134737613050765,-0.08667308842444563,0.2407797181723952,-29.52179782855222,3.1842381233592003e-180,-0.35996839385943963,1077423.0,2.8028710194232985e-237,-0.6438259888750064,0.37516900629919425,1.91054287401552e-179,1.681722611653979e-236
All,linear-decay-recall,Linear-Decay Recall,normal vs missing,6726,0.683584131240706,0.5879219899493501,0.11282951873215315,0.2015380299634103,45.9138972686921,0.0,0.5598423223281364,1012646.5,0.0,0.8030901143176042,,0.0,0.0
All,linear-decay-recall,Linear-Decay Recall,normal vs wrong,6726,0.683584131240706,,0.07661558115062159,0.18040341349528674,34.8297839796875,1.6272302361588548e-244,0.4246903074958904,1127839.5,1.7012048964178254e-252,0.652769999738309,0.6223339632274263,1.4645072125429692e-243,1.1908434274924778e-251
All,linear-decay-recall,Linear-Decay Recall,missing vs wrong,6726,,0.5879219899493501,-0.03621393758153156,0.2348754763002009,-12.644932238219338,3.077227272360817e-36,-0.15418356208140485,3968186.0,1.3440570256058477e-61,-0.27915240434457445,0.6223339632274263,1.2308909089443269e-35,5.376228102423391e-61
